,filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,label,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20
0,./AudioData/DC/d09.wav,0.5034136,0.1030514,694.8634797993957,990.5218455661412,1256.103515625,0.017415364583333332,disgust,-359.28177,113.2851,18.151466,36.55504,27.406542,-1.3308741,-24.204842,-2.3619554,-0.49649727,-10.356019,-0.6063993,-4.13269,-2.872957,4.6887994,2.3820465,-4.460833,0.71501166,2.7537427,-2.8227115,-1.2321073
1,./AudioData/DC/su01.wav,0.4591284,0.09550966,1122.8765870374432,1345.021572975627,2028.9475013469828,0.02804530352011494,surprise,-344.78262,89.83733,12.422967,62.292667,3.5552883,4.8121815,-23.826855,-0.15166502,7.49684,-10.032039,-6.548965,0.9653598,-2.6345325,-1.9342551,8.987363,-3.841317,0.39815548,0.7119463,-3.419717,-5.2031503
2,./AudioData/DC/n04.wav,0.52925485,0.06339103,724.0917264739132,1120.65722424268,1465.7428609913793,0.010680450790229884,neutral,-427.463,120.46458,35.141376,41.77744,22.604918,8.89342,-20.562502,-2.8190415,-2.4793093,-10.1970625,2.369684,1.5877149,-5.1763,2.9771378,13.702925,-0.9081668,-5.765352,3.098535,0.20567308,-2.5672996
3,./AudioData/DC/n05.wav,0.48413604,0.06678648,720.6174525926675,1080.1615282248451,1395.0793036099137,0.01184783584770115,neutral,-427.36288,134.3574,25.466087,44.73109,17.574253,4.174903,-23.714987,1.4877716,6.6641507,-13.744165,-1.4990429,2.707392,-2.500517,2.0681648,10.556689,-3.0456498,-3.44208,3.5220032,-4.839116,-1.168096
4,./AudioData/DC/sa01.wav,0.53403693,0.079202645,811.1877454529987,1164.456285201865,1354.8592403017242,0.012195806393678161,sadness,-412.85168,79.976234,21.55462,49.940796,14.969608,4.6724186,-21.614794,-0.113537446,7.546576,-8.237152,-2.1132896,2.1354868,-0.98402727,3.6369607,10.473126,-6.7982492,0.777758,9.56313,-2.300718,-0.7976259
5,./AudioData/DC/sa15.wav,0.5230596,0.085138336,705.8721073595297,1054.6895113623139,1273.552835398707,0.014137706537356323,sadness,-397.9194,129.35498,13.844757,25.612907,10.621315,9.809327,-23.325226,1.6336123,2.118351,-9.833135,6.5357113,-2.6799896,-2.2068193,2.150655,6.5163965,-2.6975675,-4.057734,6.054996,-3.047711,-3.364529
6,./AudioData/DC/sa11.wav,0.5606719,0.08494349,370.747564770354,767.0501570518692,502.0701441271552,0.012902972341954023,sadness,-417.1329,121.17957,25.22199,16.956642,18.336584,1.1624893,-11.75314,-1.8239471,-1.8903707,-5.853531,6.509396,5.996129,-3.078606,2.204644,9.593983,-0.95985824,-2.881058,2.2484756,-0.42886484,0.3993757
7,./AudioData/DC/d07.wav,0.4449857,0.105433375,636.9117922717564,963.3603692175028,1173.1883081896551,0.014749461206896552,disgust,-372.41217,120.92011,26.828272,31.38298,17.499094,5.512579,-14.291016,-3.2106345,1.0805146,-12.816129,-4.141383,-1.9234624,-1.6618541,3.486239,3.1686327,-5.9452963,-1.2558811,3.928871,-2.6979547,-0.5962843
8,./AudioData/DC/f04.wav,0.39526787,0.17891479,845.925765632383,1108.0687389947625,1384.6839641702586,0.025783494971264368,fear,-305.70786,112.13887,11.319571,22.714767,-1.4227929,2.1159956,-27.929258,-5.7092094,-5.29641,-22.973293,2.1786852,1.0420027,-14.405494,0.42427966,13.230808,-9.626196,-4.4321265,1.1754805,-6.07675,-2.1901278
9,./AudioData/DC/n13.wav,0.4537187,0.07435807,769.4024357945488,1050.7640805599426,1420.8201441271551,0.013037670617816091,neutral,-403.59262,131.73512,25.376797,33.21468,15.290596,3.8147247,-18.718653,-1.9265275,0.23635733,-7.2030644,-1.1497018,-2.487307,-1.5376382,1.6315362,10.741816,0.30288443,-5.1045704,4.374642,-2.3788633,-3.5214038
